year,postcode,total_population,median_total_personal_income_weekly,median_total_family_income_weekly,labor_force
2011,2560,72236,551,1399,18547
2011,2563,241,440,1041,76
2011,2564,13375,429,1108,4075
2011,2565,16586,562,1478,4597
2011,2566,24045,585,1470,5730
2011,2567,33965,740,1919,5599
2011,2568,877,529,1650,295
2011,2569,1273,640,1721,270
2011,2570,28344,661,1833,6527
2011,2571,10141,657,1747,2092
2011,2572,3941,550,1593,1026
2011,2573,4505,513,1314,1264
2011,2574,5420,557,1476,1278
2011,2575,14031,524,1343,3912
2011,2576,12710,575,1436,4620
2011,2577,14650,553,1311,4359
2011,2578,2419,480,1080,972
2011,2579,3598,503,1251,1049
2011,2580,27112,520,1290,8148
2011,2581,1997,656,1507,446
2011,2582,11512,735,1851,2447
2011,2583,3998,445,1095,1278
2011,2584,465,546,949,132
2011,2585,339,398,1262,123
2011,2586,2725,458,1064,863
2011,2587,2827,403,992,1001
2011,2588,305,607,1343,92
2011,2590,7110,425,1030,2547
2011,2594,11456,446,1022,3359
2011,2618,1389,895,2299,255
2011,2619,9420,1144,2802,1126
2011,2620,36433,800,1931,7485
2011,2621,5369,974,2326,868
2011,2622,3258,532,1291,879
2011,2623,743,678,1537,146
2011,2625,471,866,2100,30
2011,2626,500,619,2107,118
2011,2627,4400,686,1570,605
2011,2628,1806,543,1252,458
2011,2629,585,487,1224,186
2011,2630,8331,525,1206,2496
2011,2631,719,411,882,232
2011,2632,1662,493,1086,487
2011,2633,452,386,937,161
2011,2640,33709,587,1484,8686
2011,2641,14315,495,1123,4167
2011,2642,5001,512,1225,1114
2011,2643,2551,465,1042,867
2011,2644,2596,503,1173,672
2011,2645,300,339,687,140
2011,2646,6789,475,1104,2151
2011,2647,1904,455,1002,733
2011,2648,2503,431,917,758
2011,2649,12,500,2250,10
2011,2650,53972,589,1426,13229
2011,2651,2216,694,1326,367
2011,2652,4851,516,1266,1106
2011,2653,2336,457,1103,800
2011,2655,1054,488,1160,319
2011,2656,1295,444,1018,396
2011,2658,1442,396,949,515
2011,2659,918,465,1266,236
2011,2660,1665,422,1035,474
2011,2661,340,773,2014,26
2011,2663,4578,462,1106,1972
2011,2665,2337,387,888,691
2011,2666,5059,426,990,1723
2011,2668,406,401,776,148
2011,2669,2000,431,1002,491
2011,2671,3890,491,1182,1056
2011,2672,1477,406,925,482
2011,2675,1430,530,1201,357
2011,2678,563,209,0,349
2011,2680,22688,532,1293,5350
2011,2681,1638,519,1205,356
2011,2700,4871,457,997,1476
2011,2701,2434,502,1182,639
2011,2702,614,384,1038,249
2011,2703,948,281,1058,379
2011,2705,10014,499,1200,2623
2011,2706,1211,503,1014,304
2011,2707,1311,511,1178,260
2011,2710,9834,469,1111,2922
2011,2711,3295,456,978,944
2011,2712,1408,421,926,404
2011,2713,3081,424,983,874
2011,2714,2383,390,896,992
2011,2715,1627,454,1101,429
2011,2716,1070,450,1053,337
2011,2717,1384,410,966,461
2011,2720,7823,486,1253,2256
2011,2721,350,365,809,115
2011,2722,2976,462,1134,832
2011,2725,448,358,790,167
2011,2726,304,566,1262,75
2011,2727,569,536,1399,113
2011,2729,1728,459,1204,470
2011,2730,1421,453,1036,485
2011,2731,5559,474,1077,1842
2011,2732,1858,412,974,615
2011,2733,593,447,968,186
2011,2735,651,389,1037,157
2011,2736,403,390,1029,135
2011,2737,795,525,1239,194
2011,2738,1226,598,1445,264
2011,2739,1500,537,1235,375
2011,2745,26232,746,1960,4480
2011,2747,34249,597,1467,7844
2011,2748,1912,593,1808,485
2011,2749,15773,654,1649,3060
2011,2750,42587,617,1555,10946
2011,2752,4676,650,1742,917
2011,2753,17083,601,1495,4252
2011,2754,5283,603,1575,1317
2011,2756,32296,624,1576,6517
2011,2757,877,558,1628,224
2011,2758,8528,662,1842,1835
2011,2759,26500,668,1753,5000
2011,2760,27031,515,1241,7550
2011,2761,27723,623,1572,5783
2011,2762,3813,618,1660,813
2011,2763,29849,710,1863,5580
2011,2765,14841,582,1526,4150
2011,2766,14180,526,1470,3796
2011,2767,19504,521,1467,5243
2011,2768,26461,775,2175,5114
2011,2769,2932,1008,2450,393
2011,2770,60343,394,1010,18566
2011,2773,5857,731,2165,1393
2011,2774,12648,678,1882,2994
2011,2775,1543,498,1120,407
2011,2776,3990,656,1820,944
2011,2777,17783,644,1813,4563
2011,2778,2432,640,1745,555
2011,2779,4534,588,1525,1124
2011,2780,12921,493,1212,4202
2011,2782,5934,533,1309,2006
2011,2783,2887,544,1401,784
